Jornada,Partido,Nombre,Dorsal,Nacionalidad,Posicion,Edad,Min,Gls,Asist,Penaltis,Penaltis_int,Disp.,Disp_a_puerta,Tarj_am,Tarj_rj,Num_toques,Entradas,Intercep.,Bloqueos,xG,xG_sin_penal,xAG,Acc_creacion_tiro,Acc_creacion_gol,Pases_compl,Pases_int,%_pases,Pases_progr,Veces_control,Conducc_progr,Acosos_int,Exito_acosos,Dist_tt_pases,Dist_progr_pases,Pases_cort_cmp,Pases_cort_int,%_cortos,Pases_med_cmp,Pases_med_int,%_medios,Pases_lrg_cmp,Pases_lrg_int,%_largos,xA,Pases_clave,Pases_ult_tercio,Pases_area,Centros,Pases_prof,Pases_en_vivo,Pases_balon_parado,Saques_falta,Pases_lrg,Cambio_orient,Pases_cruzad,Pases_lanz.,Saques_córner,Entradas_gan,Ent_prim_terc,Ent_seg_terc,Ent_ult_terc,DF_acosos,Exit_acosos,%_acosos,Acosos_perd,Bloq_tiro,Bloq_pase,Tkls+intercp,Despejes,Error_+_tiro,Toq_prop_area,Toq_prim_terc,Toq_seg_terc,Toq_ult_terc,Toq_area_riv,Dist_tt_traslado,Dist_tt_prog,Conducc_ult_terc,Conducc_area_riv,Perd_control,Perdida,Pases_recib,Pases_recib_prof,Faltas_com,Faltas_recib,Fueras_de_juego,Penal_recib,Penal_comet,Gol_recib,Recuperac,Duelos_aereos_gan,Duelos_aereos_perd,%_duelos_aereos
14,ALA-ATM,Pablo Barrios,8,ESP,CM,21,90,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,3,1,49,65,75.4,9,44,2,2,0,779,197,32,35,91.4,13,19,68.4,4,9,44.4,0.1,1,7,1,0,9,65,0,0,2,1,4,0,0,1,0,0,1,0,2,0.0,2,0,1,1,0,1,1,5,37,33,0,235,128,3,0,3,1,57,3,2,3,0,0,0,0,5,2,2,50.0
14,ALA-ATM,Marcos Llorente,14,ESP,RM,29,45,0,0,0,0,2,2,0,0,38,0,2,0,0.1,0.1,0.0,0,0,22,31,71.0,0,26,1,0,0,258,23,14,15,93.3,7,12,58.3,0,0,0.0,0.0,0,1,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,2,1,0,0,4,14,20,2,134,64,2,0,1,0,31,8,0,0,1,0,0,0,0,0,0,0.0
14,ALA-ATM,Giuliano Simeone,22,ARG,WB,21,45,0,0,0,0,1,1,0,0,43,1,0,0,0.0,0.0,0.0,0,0,30,36,83.3,3,20,3,1,1,443,165,17,20,85.0,11,13,84.6,1,1,100.0,0.0,0,4,0,0,3,28,8,0,0,0,3,7,1,0,0,0,1,1,1,100.0,0,0,0,1,1,0,0,9,15,19,1,116,63,1,1,2,2,24,9,2,3,0,0,0,0,3,0,0,0.0
14,ALA-ATM,Javi Galán,21,ESP,LB,30,45,0,0,0,0,0,0,0,0,34,1,0,1,0.0,0.0,0.0,1,0,26,28,92.9,3,17,1,3,0,364,86,14,15,93.3,12,12,100.0,0,1,0.0,0.0,0,1,1,0,3,23,5,0,0,0,0,5,0,1,0,0,1,0,0,0.0,0,0,1,1,0,0,0,3,20,11,0,80,40,0,0,0,0,20,4,1,0,0,0,1,0,2,1,2,33.3
14,ALA-ATM,Alexander Sørloth,9,NOR,FW,28,45,1,0,0,0,2,1,0,0,12,0,0,0,0.2,0.2,0.0,2,1,4,6,66.7,0,7,1,0,0,50,0,3,4,75.0,1,2,50.0,0,0,0.0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,7,2,49,33,0,0,3,0,10,2,2,2,0,0,0,0,1,2,0,100.0
14,ALA-ATM,Clément Lenglet,15,FRA,CB,29,90,0,0,0,0,1,0,0,0,77,0,1,0,0.3,0.3,0.0,1,0,60,67,89.6,7,50,0,0,0,1238,491,11,13,84.6,44,46,95.7,5,8,62.5,0.0,0,5,0,0,7,65,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,7,0,4,30,42,5,1,257,186,2,0,0,0,57,0,2,3,0,0,0,0,5,3,4,42.9
14,ALA-ATM,Axel Witsel,20,BEL,CB,35,90,0,0,0,0,0,0,0,0,92,3,2,4,0.0,0.0,0.0,1,0,75,79,94.9,7,60,1,0,0,1439,565,26,26,100.0,41,43,95.3,8,9,88.9,0.0,1,5,0,0,7,73,6,6,0,2,0,0,0,3,0,2,1,3,3,100.0,0,2,2,5,0,0,3,27,60,5,0,397,249,1,0,1,0,64,0,1,0,0,0,0,0,0,1,4,20.0
14,ALA-ATM,César Azpilicueta,3,ESP,CB,35,90,0,0,0,0,0,0,0,0,96,4,1,0,0.0,0.0,0.0,0,0,75,86,87.2,10,44,3,0,0,1158,460,35,39,89.7,37,40,92.5,2,5,40.0,0.0,0,4,0,0,10,65,21,3,0,0,1,18,0,2,2,0,2,2,2,100.0,0,0,0,5,3,0,1,26,48,22,2,223,179,4,0,2,0,57,1,1,0,1,0,0,0,4,2,4,33.3
14,ALA-ATM,Jan Oblak,13,SVN,GK,31,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,16,19,84.2,0,12,0,0,0,317,210,7,7,100.0,7,7,100.0,2,5,40.0,0.0,0,0,0,0,0,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18,20,0,0,0,23,14,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0.0
15,VAL-ATM,Julián Álvarez,19,ARG,FW,24,63,1,1,0,0,2,2,0,0,32,1,0,0,0.8,0.8,0.7,7,3,22,25,88.0,6,18,3,0,0,296,108,15,16,93.8,5,7,71.4,1,1,100.0,0.1,2,2,3,0,6,23,2,0,0,1,0,0,1,1,0,0,1,0,1,0.0,1,0,0,1,0,0,0,2,14,16,3,94,54,2,1,3,0,24,5,1,0,0,0,0,0,2,0,1,0.0
